id,etapa,natureza,como,endereco,abre_hoje,falta,irmaos
CAT-014,E08,"aba",so-url,/app/[orgSlug]/catalogo/produtos/[productId]/fotos,sim,"",0
CAT-015,E08,"aba",so-url,/app/[orgSlug]/catalogo/produtos/[productId]/traducoes,sim,"",0
CAT-016,E07,"aba",so-url,/app/[orgSlug]/catalogo/produtos/[productId]/canais,sim,"",0
CAT-017,E07,"aba",so-url,/app/[orgSlug]/catalogo/produtos/[productId]/disponibilidade,sim,"",0
CAT-018,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/opcoes,sim,"",0
CAT-019,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/opcoes/[groupId],sim,"",0
CAT-020,E14,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/combos,sim,"",0
CAT-021,E24,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/impostos,sim,"",0
CAT-022,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/alergenos,sim,"",0
CAT-023,E08,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/media,sim,"",0
CAT-024,E08,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/traducoes,sim,"",0
CAT-025,E08,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/menus/[menuId]/publicar,sim,"",0
CAT-026,E08,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/menus/[menuId]/historico,sim,"",0
CAT-027,E08,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/importar,sim,"",0
CAT-028,E30,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/duplicar,sim,"",0
MENU-001,E09,"página/painel a compor",estado-partilhado,/r/[publicLocationSlug]/[locale]/menu,bloqueado,"publicLocationSlug locale",1
MENU-002,E09,"variação de rota",so-url,/r/[publicLocationSlug]/[locale]/menu (ligações de idioma),bloqueado,"publicLocationSlug locale",0
MENU-003,E09,"variação de rota",so-url,/r/[publicLocationSlug]/[locale]/menu?categoria=,bloqueado,"publicLocationSlug locale",0
MENU-004,E09,"variação de rota",so-url,/r/[publicLocationSlug]/[locale]/menu?q=,bloqueado,"publicLocationSlug locale",0
MENU-005,E09,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/menu/produto/[produtoId],bloqueado,"publicLocationSlug locale produtoId",0
MENU-006,E17,"variação de rota",so-url,/r/[publicLocationSlug]/[locale]/menu/products/[productId]?view=options,bloqueado,"publicLocationSlug locale",0
MENU-007,E17,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/menu/cart,bloqueado,"publicLocationSlug locale",0
MENU-008,E17,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/menu/checkout,bloqueado,"publicLocationSlug locale",0
MENU-009,E17,"estado de rota",so-url,/r/[publicLocationSlug]/[locale]/menu/orders/[publicOrderId]?view=sent,bloqueado,"publicLocationSlug locale publicOrderId",0
MENU-010,E17,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/menu/orders/[publicOrderId],bloqueado,"publicLocationSlug locale publicOrderId",0
MENU-011,E17,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/menu/session,bloqueado,"publicLocationSlug locale",0
MENU-012,E17,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/menu/service-request,bloqueado,"publicLocationSlug locale",0
MENU-013,E17,"diálogo/painel ou etapa do fluxo",so-url,/r/[publicLocationSlug]/[locale]/menu/bill-request,bloqueado,"publicLocationSlug locale",0
MENU-014,E23,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/mesa/pagar,bloqueado,"publicLocationSlug locale",0
MENU-015,E23,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/mesa/dividir,bloqueado,"publicLocationSlug locale",0
MENU-016,E23,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/mesa/comprovativo/[recibo],bloqueado,"publicLocationSlug locale recibo",0
MENU-017,E27,"diálogo/painel ou etapa do fluxo",so-url,/r/[publicLocationSlug]/[locale]/menu/feedback,bloqueado,"publicLocationSlug locale",0
MENU-018,E17,"estado de rota",so-url,/r/[publicLocationSlug]/[locale]/menu?state=invalid-qr,bloqueado,"publicLocationSlug locale",0
MENU-019,E09,"estado de rota",so-url,/r/[publicLocationSlug]/[locale]/menu (estado fechado),bloqueado,"publicLocationSlug locale",0
MENU-020,E17,"diálogo/painel ou etapa do fluxo",so-url,/r/[publicLocationSlug]/[locale]/menu/cart?state=unavailable,bloqueado,"publicLocationSlug locale",0
QR-001,E09,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/channels/qr,sim,"",5
QR-002,E17,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/channels/qr,sim,"",5
QR-003,E09,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/channels/qr,sim,"",5
QR-004,E09,"página/painel a compor",so-url,/api/org/[orgSlug]/unidades/[locationId]/qr.svg,sim,"",0
QR-005,E17,"diálogo/painel ou etapa do fluxo",estado-partilhado,/app/[orgSlug]/[locationSlug]/channels/qr,sim,"",5
QR-006,E17,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/channels/qr,sim,"",5
QR-007,E17,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/channels/qr,sim,"",5
CHAN-001,E09,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/channels,sim,"",0
CHAN-002,E14,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/channels/[canal],bloqueado,"canal",0
WEB-001,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-002,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-003,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-004,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-005,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-006,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-007,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-008,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-009,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-010,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
WEB-011,E10,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/website,sim,"",10
PUB-001,E10,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale],bloqueado,"publicLocationSlug locale",0
PUB-002,E10,"página/painel a compor",estado-partilhado,/r/[publicLocationSlug]/[locale]/menu,bloqueado,"publicLocationSlug locale",1
PUB-003,E19,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/reserve,bloqueado,"publicLocationSlug locale",0
PUB-004,E10,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/about,bloqueado,"publicLocationSlug locale",0
PUB-005,E10,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/contact,bloqueado,"publicLocationSlug locale",0
PUB-006,E10,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/news/[postSlug],bloqueado,"publicLocationSlug locale postSlug",0
RES-C-001,E19,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/reserve/inicio,bloqueado,"publicLocationSlug locale",0
RES-C-002,E19,"diálogo/painel ou etapa do fluxo",so-url,/r/[publicLocationSlug]/[locale]/reserve/horarios,bloqueado,"publicLocationSlug locale",0
RES-C-003,E19,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/reserve/dados,bloqueado,"publicLocationSlug locale",0
RES-C-004,E19,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/reserve/preferencias,bloqueado,"publicLocationSlug locale",0
RES-C-005,E19,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/reserve/rever,bloqueado,"publicLocationSlug locale",0
RES-C-006,E19,"estado de rota",so-url,/r/[publicLocationSlug]/[locale]/reserve/confirmada,bloqueado,"publicLocationSlug locale",0
RES-C-007,E19,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/reserve/gerir,bloqueado,"publicLocationSlug locale",0
RES-C-008,E19,"estado de rota",so-url,/r/[publicLocationSlug]/[locale]/reserve/sem-mesa,bloqueado,"publicLocationSlug locale",0
RES-C-009,E19,"página/painel a compor",so-url,/r/[publicLocationSlug]/[locale]/reserve/espera,bloqueado,"publicLocationSlug locale",0
RES-C-010,E19,"estado de rota",so-url,/r/[publicLocationSlug]/[locale]/reserve/espera/estado,bloqueado,"publicLocationSlug locale",0
RES-B-001,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations,sim,"",0
RES-B-002,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/calendario,sim,"",0
RES-B-003,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/timeline,sim,"",0
RES-B-004,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/[reservaId],sim,"",0
RES-B-005,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/nova,sim,"",0
RES-B-006,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/[reservaId]/mover,sim,"",0
RES-B-007,E19,"diálogo/painel ou etapa do fluxo",so-url,/app/[orgSlug]/[locationSlug]/reservations/[reservaId]/chegada,sim,"",0
RES-B-008,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/espera,sim,"",0
RES-B-009,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/walk-in,sim,"",0
RES-B-010,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/mapa,sim,"",0
RES-B-011,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/[reservaId]/mesa,sim,"",0
RES-B-012,E18,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/regras,sim,"",0
RES-B-013,E18,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/capacidade,sim,"",0
RES-B-014,E18,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/turnos,sim,"",0
RES-B-015,E18,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/bloqueios,sim,"",0
RES-B-016,E18,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/politicas,sim,"",0
RES-B-017,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/mensagens,sim,"",0
RES-B-018,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/mensagens/historico,sim,"",0
RES-B-019,E19,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/reservations/relatorio,sim,"",0
FLOOR-001,E13,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/floor/zonas,sim,"",0
FLOOR-002,E13,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/floor/mesas,sim,"",0
FLOOR-003,E13,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/floor/mesas/[tableId],sim,"",0
FLOOR-004,E13,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/floor/plano,sim,"",0
FLOOR-005,E13,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/floor/combinacoes,sim,"",0
FLOOR-006,E13,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/floor,sim,"",1
FLOOR-007,E13,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/floor/abrir,sim,"",0
FLOOR-008,E13,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/floor/sessoes/[sessionId],sim,"",0
FLOOR-009,E13,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/floor/sessoes/[sessionId]/transferir,sim,"",0
FLOOR-010,E22,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/floor,sim,"",1
FLOOR-011,E13,"diálogo/painel ou etapa do fluxo",so-url,/app/[orgSlug]/[locationSlug]/floor/sessoes/[sessionId]/encerrar,sim,"",0
STAFF-001,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-002,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-003,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-004,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-005,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-006,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-007,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-008,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-009,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-010,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-011,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-012,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-013,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-014,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-015,E22,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-016,E22,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-017,E15,"diálogo/painel ou etapa do fluxo",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-018,E15,"diálogo/painel ou etapa do fluxo",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-019,E23,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-020,E22,"estado de rota",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-021,E20,"página/painel a compor",so-url,/staff/[locationId]/levar,sim,"",0
STAFF-022,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-023,E15,"página/painel a compor",estado-partilhado,/staff/[locationId],sim,"",22
STAFF-024,E15,"estado de rota",estado-partilhado,/staff/[locationId],sim,"",22
ORD-001,E14,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/orders,sim,"",2
ORD-002,E14,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/orders/[orderId],sim,"",0
ORD-003,E14,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/orders/novo,sim,"",0
ORD-004,E14,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/orders/[orderId]/editar,sim,"",0
ORD-005,E14,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/orders/[orderId]/ronda,sim,"",0
ORD-006,E14,"diálogo/painel ou etapa do fluxo",so-url,/app/[orgSlug]/[locationSlug]/orders/[orderId]/cancelar,sim,"",0
ORD-007,E22,"diálogo/painel ou etapa do fluxo",estado-partilhado,/app/[orgSlug]/[locationSlug]/orders,sim,"",2
ORD-008,E14,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/orders/[orderId]/mover,sim,"",0
ORD-009,E14,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/orders/[orderId]/historia,sim,"",0
ORD-010,E14,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/orders/atencao,sim,"",0
ORD-011,E32,"diálogo/painel ou etapa do fluxo",estado-partilhado,/app/[orgSlug]/[locationSlug]/orders,sim,"",2
KDS-001,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-002,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-003,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-004,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-005,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-006,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-007,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-008,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-009,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-010,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-011,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-012,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-013,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-014,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-015,E16,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
KDS-016,E31,"página/painel a compor",estado-partilhado,/kds/[locationId]/[stationId],sim,"",15
POS-001,E22,"diálogo/painel ou etapa do fluxo",so-url,/pos,sim,"",0
POS-002,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-003,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-004,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-005,E23,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-006,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-007,E23,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-008,E23,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-009,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-010,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-011,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-012,E24,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-013,E23,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-014,E22,"diálogo/painel ou etapa do fluxo",estado-partilhado,/pos/[locationId],sim,"",21
POS-015,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-016,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-017,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-018,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-019,E22,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-020,E24,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-021,E24,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-022,E23,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
POS-023,E23,"página/painel a compor",estado-partilhado,/pos/[locationId],sim,"",21
TAKE-001,E20,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/takeaway/novo,sim,"",0
TAKE-002,E20,"estado de rota",so-url,/app/[orgSlug]/[locationSlug]/takeaway/[orderId],sim,"",0
TAKE-003,E20,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/takeaway,sim,"",0
DEL-001,E20,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/delivery,sim,"",0
DEL-002,E20,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/delivery/mapeamento,sim,"",0
DEL-003,E20,"página/painel a compor",so-url,/app/[orgSlug]/[locationSlug]/delivery/fila,sim,"",0
KIOSK-001,E31,"página/painel a compor",estado-partilhado,/kiosk/[deviceId],sim,"",7
KIOSK-002,E31,"página/painel a compor",estado-partilhado,/kiosk/[deviceId],sim,"",7
KIOSK-003,E31,"página/painel a compor",estado-partilhado,/kiosk/[deviceId],sim,"",7
KIOSK-004,E31,"página/painel a compor",estado-partilhado,/kiosk/[deviceId],sim,"",7
KIOSK-005,E31,"página/painel a compor",estado-partilhado,/kiosk/[deviceId],sim,"",7
KIOSK-006,E31,"estado de rota",estado-partilhado,/kiosk/[deviceId],sim,"",7
KIOSK-007,E31,"estado de rota",estado-partilhado,/kiosk/[deviceId],sim,"",7
KIOSK-008,E31,"página/painel a compor",estado-partilhado,/kiosk/[deviceId],sim,"",7
INV-001,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-002,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-003,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-004,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-005,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-006,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-007,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-008,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-009,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-010,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-011,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
INV-012,E25,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/inventory,sim,"",11
SUP-001,E26,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/suppliers,sim,"",1
SUP-002,E26,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/suppliers,sim,"",1
PUR-001,E26,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/purchases,sim,"",3
PUR-002,E26,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/purchases,sim,"",3
PUR-003,E26,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/purchases,sim,"",3
PUR-004,E26,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/purchases,sim,"",3
CRM-001,E27,"página/painel a compor",estado-partilhado,/app/[orgSlug]/[locationSlug]/customers,sim,"",12
