id,origem,nome_original,titulo_atlas,plano_original,regra_efetiva,etapa_principal,etapas_relacionadas,rota_sugerida,rota_detalhada,view_key,composicao,desktop,mobile,pagina_mapa,pagina_atlas,status,evidencia,decisao_relacionada
MKT-011,complemento atlas,,Tu solicitud está enviada,Complemento do atlas,Público BossaOS,E10,,/[locale]/demo/thanks,sim,MKT-011,estado de rota,obrigatório,obrigatório/adaptado à superfície,,17,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-012,complemento atlas,,No encontramos esta página,Complemento do atlas,Público BossaOS,E10,,/[locale]/404,sim,MKT-012,estado de rota,obrigatório,obrigatório/adaptado à superfície,,18,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
AUTH-001,mapa original,Login,Accede a BossaOS,Todos,Todos,E04,,/[idioma]/auth/login,sim,AUTH-001,página,obrigatório,obrigatório/adaptado à superfície,5,19,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
AUTH-002,mapa original,Login por PIN,Identifica tu turno,Restaurant+,Restaurant+,E13,,/auth/[locale]/operator-pin,sim,AUTH-002,diálogo/painel ou etapa do fluxo,obrigatório,obrigatório/adaptado à superfície,5,20,planejado,,
AUTH-003,mapa original,Esqueci a senha,Recupera tu acceso,Todos,Todos,E04,,/[idioma]/auth/forgot-password,sim,AUTH-003,página,obrigatório,obrigatório/adaptado à superfície,5,21,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
AUTH-004,mapa original,Redefinir senha,Crea una nueva contraseña,Todos,Todos,E04,,/[idioma]/auth/reset-password,sim,AUTH-004,página,obrigatório,obrigatório/adaptado à superfície,5,22,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
AUTH-005,mapa original,MFA / verificacao,Verificación en dos pasos,Pro/seguranca,Todos: segurança básica; gestão avançada conforme plano,E04,,/[idioma]/auth/mfa,sim,AUTH-005,página,obrigatório,obrigatório/adaptado à superfície,5,23,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,D06
AUTH-006,mapa original,Aceitar convite,Te han invitado a La Societat,Todos,Todos,E04,,/[idioma]/auth/invite/[token],sim,AUTH-006,página,obrigatório,obrigatório/adaptado à superfície,5,24,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
AUTH-007,mapa original,Selecionar organizacao,Elige tu organización,Todos,Todos,E04,,/[idioma]/auth/organizations,sim,AUTH-007,página,obrigatório,obrigatório/adaptado à superfície,5,25,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
AUTH-008,mapa original,Selecionar unidade,Elige dónde vas a trabajar,Restaurant+,Restaurant+,E04,,/[idioma]/auth/locations,sim,AUTH-008,página,obrigatório,obrigatório/adaptado à superfície,5,26,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
AUTH-009,mapa original,Sessao expirada / bloqueada,Tu sesión se ha pausado,Todos,Todos,E04,,/[idioma]/auth/session-expired,sim,AUTH-009,estado de rota (componente Estado),obrigatório,obrigatório/adaptado à superfície,5,27,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
ONB-001,mapa original,Criar organizacao,Crea tu organización,Todos,Todos,E06,,/[idioma]/onboarding/organizacao,sim,ONB-001,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,5,28,validado,"docs/progress/E06.md · provar-onboarding.sh: a mesma chave não duplica; país, fuso e moeda começam por escolher",
ONB-002,mapa original,Criar primeira marca,Tu primera marca,Todos,Todos,E06,,/[idioma]/onboarding/marca,sim,ONB-002,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,5,29,validado,docs/progress/E06.md · idioma principal sem valor sugerido; criação idempotente com quota de marcas,
ONB-003,mapa original,Criar primeira unidade,Tu primer restaurante,Todos,Todos,E06,,/[idioma]/onboarding/unidade,sim,ONB-003,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,30,validado,docs/progress/E06.md · moeda e fuso não são herdados em silêncio da organização,
ONB-004,mapa original,Escolher plano,Elige cómo empezar,Todos,Todos,E05,,/[idioma]/onboarding/plano,sim,ONB-004,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,31,validado,docs/progress/E05.md · provar-planos.sh a 0 falhas,
ONB-005,mapa original,Importar catalogo,Importa tu carta,Todos,Todos,E08,,/onboarding,/onboarding/importar,ONB-005,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,32,validado,"Mesmo motor do CAT-027; a estratégia NÃO aparece — no arranque não há nada para actualizar, e mostrar a escolha era pedir uma decisão sobre um caso que não existe. Fica criar_apenas fixo.",
ONB-006,mapa original,Configurar menu inicial,Organiza el primer menú,Todos,Todos,E08,,/onboarding,/onboarding/menu,ONB-006,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,33,validado,"O menu nasce COM secções: um menu vazio existe na lista, faz o item do arranque ficar verde e não pode ser publicado — descoberto três ecrãs depois. As categorias vêm com a contagem de produtos, para não se escolher às cegas.",
ONB-007,mapa original,Configurar areas e mesas,Dibuja sala y terraza,Restaurant+,Restaurant+,E13,,/onboarding,família; compor na E00,ONB-007,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,34,planejado,,
ONB-008,mapa original,Configurar cozinha/bar,Conecta cocina y barra,Restaurant+,Restaurant+,E16,,/onboarding,família; compor na E00,ONB-008,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,35,planejado,,
ONB-009,mapa original,Convidar equipe,Invita a tu equipo,Restaurant+,Restaurant+,E04,,/[idioma]/onboarding,família; compor na E00,ONB-009,página,obrigatório,obrigatório/adaptado à superfície,6,36,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
ONB-010,mapa original,Checklist de go-live,Todo listo para empezar,Todos,Todos,E06,"E11,E21,E34,E35",/[idioma]/onboarding/pronto,sim,ONB-010,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,37,validado,docs/progress/E06.md · aceite 3: no Starter o pedido de prova não conta como pendente,
ORG-001,mapa original,Perfil da organizacao,Perfil de la organización,Todos,Todos,E06,,/[idioma]/app/[orgSlug]/organization/perfil,sim,ORG-001,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,38,validado,docs/progress/E06.md · campo vazio apaga; campo ausente não mexe,
ORG-002,mapa original,Lista de marcas,Marcas de la organización,Pro,Pro,E06,E30,/[idioma]/app/[orgSlug]/organization/marcas,sim,ORG-002,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,39,validado,docs/progress/E06.md · a acção fica desactivada sem quota; a página não desaparece,
ORG-003,mapa original,Detalhe da marca,La Societat 1927,Pro,Pro,E06,E30,/[idioma]/app/[orgSlug]/organization/marcas/[brandId],sim,ORG-003,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,40,validado,docs/progress/E06.md · catálogo e herança declarados por medir (E07/E12),
ORG-004,mapa original,Lista de unidades,Tus restaurantes,Restaurant+,Restaurant+,E06,E30,/[idioma]/app/[orgSlug]/organization/unidades,sim,ORG-004,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,41,validado,"docs/progress/E06.md · a coluna de horário diz três coisas, incluindo sem configuração",
ORG-005,mapa original,Detalhe da unidade,Oropesa del Mar,Todos,Todos,E06,,/[idioma]/app/[orgSlug]/organization/unidades/[locationId],sim,ORG-005,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,42,validado,docs/progress/E06.md · moeda e fuso por configurar dizem-no; dependências antes de arquivar,
ORG-006,mapa original,Horario da unidade,Horarios de apertura,Todos,Todos,E06,,/[idioma]/app/[orgSlug]/organization/unidades/[locationId]/horarios,sim,ORG-006,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,43,validado,"docs/progress/E06.md · aceite 2: 20:00-01:00 e excepção de feriado, provados contra a base",
ORG-007,mapa original,Usuarios e memberships,Personas y accesos,Todos,Todos,E04,,/[idioma]/app/[orgSlug]/organization,família; compor na E00,ORG-007,página,obrigatório,obrigatório/adaptado à superfície,6,44,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
ORG-008,mapa original,Detalhe do usuario,Alex García,Todos,Todos,E04,"E13,E33",/[idioma]/app/[orgSlug]/organization/[membershipId],família; compor na E00,ORG-008,página,obrigatório,obrigatório/adaptado à superfície,6,45,validado,docs/progress/E04.md · prova provar-acesso.sh a 0 falhas,
ORG-009,mapa original,Roles e permissoes,Roles y permisos,Pro,Pro,E33,,/app/[orgSlug]/organization,família; compor na E00,ORG-009,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,46,planejado,,
ORG-010,mapa original,Plano e assinatura,Tu plan BossaOS,Todos,Todos,E05,E32,/[idioma]/app/[orgSlug]/organization/plano,sim,ORG-010,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,47,validado,docs/progress/E05.md · provar-planos.sh e provar-descidas.sh a 0 falhas,
ORG-011,mapa original,Historico de cobranca,Historial de facturación,Todos,Todos,E32,,/app/[orgSlug]/organization,família; compor na E00,ORG-011,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,48,planejado,,
ORG-012,mapa original,Metodo de pagamento SaaS,Método de pago de la suscripción,Todos,Todos,E32,,/app/[orgSlug]/organization,família; compor na E00,ORG-012,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,49,planejado,,
ORG-013,mapa original,Uso e limites,Uso y límites,Todos,Todos,E05,E32,/[idioma]/app/[orgSlug]/organization/uso,sim,ORG-013,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,50,validado,docs/progress/E05.md · números contados na base; produtos e armazenamento declarados por medir,
ORG-014,mapa original,Upgrade/downgrade,Cambiar de plan,Todos,Todos,E05,"E12,E32",/[idioma]/app/[orgSlug]/organization/plano/cambiar,sim,ORG-014,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,6,51,validado,docs/progress/E05.md · provar-descidas.sh: a prévia é a mesma chamada da efectivação,
ORG-015,mapa original,Encerrar/cancelar tenant,Cancelar la suscripción,Todos,Todos,E06,"E32,E33",/[idioma]/app/[orgSlug]/organization/plano/cancelar,sim,ORG-015,diálogo/painel ou etapa do fluxo,obrigatório,obrigatório/adaptado à superfície,6,52,validado,docs/progress/E06.md · regista o pedido auditado; a efectivação é da plataforma (E32),
CAT-001,mapa original,Visao geral do catalogo,"Tu catálogo, conectado",Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog,/app/[orgSlug]/catalogo,CAT-001,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,53,validado,"Contadores medidos (produtos, alérgenos por declarar); publicados e sem foto ficam ""aún no medido"" com razão — publicar é E08, imagens depois. Sem gráfico: não há sete dias de história.",
CAT-002,mapa original,Lista de menus,Menús,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/menus,/app/[orgSlug]/catalogo/menus,CAT-002,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,54,validado,"Lista com âmbito (marca vs unidade) e período; ausente dos dois lados diz ""todo el año"" por extenso. Criação inline: a matriz não tem tela de criação de menu.",
CAT-003,mapa original,Criar/editar menu,Editar menú,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/menus/[menuId],/app/[orgSlug]/catalogo/menus/[menuId],CAT-003,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,55,validado,"Período semiaberto [de, até); o fim é o início do dia seguinte para o último dia contar. Datas interpretadas no fuso da unidade quando o menu tem unidade. Concorrência optimista.",
CAT-004,mapa original,Construtor logico do menu,Organiza tu carta,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/menus/[menuId]/builder,/app/[orgSlug]/catalogo/menus/[menuId]/ordem,CAT-004,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,56,validado,Ordem é um inteiro escrito; arrastar fica declarado como melhoria. Funciona sem JavaScript. Ordem ilegível deixa a linha como está.,
CAT-005,mapa original,Lista de categorias,Categorías,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/categories,/app/[orgSlug]/catalogo/categorias,CAT-005,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,57,validado,"Contagem de produtos real (_count). Criação inline; a categoria nova entra no FIM da carta, não no princípio.",
CAT-006,mapa original,Editar categoria,Editar categoría,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/categories/[categoryId],/app/[orgSlug]/catalogo/categorias/[categoryId],CAT-006,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,58,validado,visivel=false esconde sem apagar e sem tocar nos produtos — a categoria sazonal volta com as fichas de alérgenos intactas. Concorrência optimista.,
CAT-007,mapa original,Lista de produtos,Productos,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/products,/app/[orgSlug]/catalogo/produtos,CAT-007,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,59,validado,"Preço RESOLVIDO pelo motor de precedência, não guardado. ""Sin precio"" e não zero. Estado é rascunho/activo/arquivado — ""Publicado"" é E08. Busca por GET, sem JavaScript.",
CAT-008,mapa original,Criar produto,Nuevo producto,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/products/new,/app/[orgSlug]/catalogo/produtos/novo,CAT-008,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,60,validado,Preço criado como REGRA BASE (não coluna do produto). Sem montante+moeda não se cria preço. Imposto declarado por validar (E24). Quota de produtos verificada no servidor.,
CAT-009,mapa original,Editar produto - geral,Croquetas caseras,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/products/[productId],/app/[orgSlug]/catalogo/produtos/[productId],CAT-009,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,7,61,validado,Concorrência optimista: WHERE id AND version; distingue ausência de conflito. Aviso de alérgenos por declarar no topo.,
CAT-010,mapa original,Editar produto - precos,Precios del producto,Todos,Todos,E07,"E14,E22,E24",/app/[orgSlug]/brands/[brandSlug]/catalog/products/[productId]?tab=prices,/app/[orgSlug]/catalogo/produtos/[productId]/precos,CAT-010,aba,obrigatório,obrigatório/adaptado à superfície,7,62,validado,"Matriz unidade × canal resolvida pelo motor; origem Heredado/Local vem do motor. EMPATE DEVOLVE CONFLITO com os ids das regras, nunca um vencedor pela ordem da base. Moeda da UNIDADE.",
CAT-011,mapa original,Editar produto - variantes,Variantes del producto,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/products/[productId]?tab=variants,/app/[orgSlug]/catalogo/produtos/[productId]/variantes,CAT-011,aba,obrigatório,obrigatório/adaptado à superfície,7,63,validado,predefinida é rádio (uma ou nenhuma); a rota limpa todas antes de marcar. Duas predefinidas fariam o TPV escolher pela ordem da base.,
CAT-012,mapa original,Editar produto - modificadores,Opciones y extras,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/products/[productId]?tab=modifiers,/app/[orgSlug]/catalogo/produtos/[productId]/opcoes,CAT-012,aba,obrigatório,obrigatório/adaptado à superfície,7,64,validado,"O ecrã MOSTRA os limites; quem valida é POST /api/org/[orgSlug]/produtos/[productId]/opcoes, que lê os limites da BASE e não do corpo. Aceita JSON — TPV/quiosque/curl, não formulário.",
CAT-013,mapa original,Editar produto - alergenos,Alérgenos del producto,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/products/[productId]?tab=allergens,/app/[orgSlug]/catalogo/produtos/[productId]/alergenos,CAT-013,aba,obrigatório,obrigatório/adaptado à superfície,7,65,validado,"QUATRO estados num seletor, ""sin declarar"" é opção seleccionável — diverge do atlas, que usa caixa (dois estados) para um modelo de quatro. DESCONHECIDO apaga a declaração. Preferência alimentar em cartão separado.",
CAT-014,mapa original,Editar produto - midia,Fotos del producto,Todos,Todos,E08,,/app/[orgSlug]/brands/[brandSlug]/catalog/products/[productId]?tab=media,/app/[orgSlug]/catalogo/produtos/[productId]/fotos,CAT-014,aba,obrigatório,obrigatório/adaptado à superfície,7,66,validado,"Escolhe-se da biblioteca, não se carrega aqui: o mesmo ficheiro serve vários produtos, e substituí-lo passaria a ser dez trabalhos. A principal é um rádio (uma ou nenhuma), com índice parcial na base.",
CAT-015,mapa original,Editar produto - traducoes,Traduce el producto,Todos,Todos,E08,,/app/[orgSlug]/brands/[brandSlug]/catalog/products/[productId]?tab=translations,/app/[orgSlug]/catalogo/produtos/[productId]/traducoes,CAT-015,aba,obrigatório,obrigatório/adaptado à superfície,7,67,validado,"TRÊS estados: pendente, revisada e obsoleta. A obsoleta é a perigosa — tem assinatura e data e por isso parece verificada. Texto original ao lado, não atrás de um separador. Sem fornecedor automático: declarado no ecrã.",
CAT-016,mapa original,Editar produto - canais,Dónde se vende,Todos,Todos,E07,,/app/[orgSlug]/brands/[brandSlug]/catalog/products/[productId]?tab=channels,/app/[orgSlug]/catalogo/produtos/[productId]/canais,CAT-016,aba,obrigatório,obrigatório/adaptado à superfície,7,68,validado,"Canais sem plano aparecem desligados COM O MOTIVO, não escondidos; a recusa real está na rota. TAKEAWAY não tem capacidade no E05 e por isso não é limitado — declarado, não inventado.",
